Item,Language,Participant,Gender,Age,Rating,Bias
housekeeper,Hungarian,hu_22,male,25-35,2,female
housekeeper,Hungarian,hu_23,male,25-35,2,female
housekeeper,Hungarian,hu_24,male,25-35,1,female
flight attendant,Hungarian,hu_1,male,25-35,1,female
flight attendant,Hungarian,hu_2,male,45-55,2,female
flight attendant,Hungarian,hu_3,male,25-35,1,female
flight attendant,Hungarian,hu_4,male,35-45,3,female
flight attendant,Hungarian,hu_5,male,25-35,0,female
flight attendant,Hungarian,hu_6,male,25-35,2,female
flight attendant,Hungarian,hu_7,female,35-45,2,female
flight attendant,Hungarian,hu_8,female,45-55,2,female
flight attendant,Hungarian,hu_9,male,25-35,2,female
flight attendant,Hungarian,hu_11,female,45-55,1,female
flight attendant,Hungarian,hu_12,male,25-35,2,female
flight attendant,Hungarian,hu_14,female,25-35,0,female
flight attendant,Hungarian,hu_15,female,35-45,1,female
flight attendant,Hungarian,hu_16,female,25-35,0,female
flight attendant,Hungarian,hu_17,female,45-55,2,female
flight attendant,Hungarian,hu_18,female,45-55,1,female
flight attendant,Hungarian,hu_19,female,25-35,1,female
flight attendant,Hungarian,hu_20,female,25-35,2,female
flight attendant,Hungarian,hu_21,female,25-35,1,female
flight attendant,Hungarian,hu_22,male,25-35,2,female
flight attendant,Hungarian,hu_23,male,25-35,2,female
flight attendant,Hungarian,hu_24,male,25-35,2,female
doctor,Hungarian,hu_1,male,25-35,-1,male
doctor,Hungarian,hu_2,male,45-55,0,male
doctor,Hungarian,hu_3,male,25-35,0,male
doctor,Hungarian,hu_4,male,35-45,-1,male
doctor,Hungarian,hu_5,male,25-35,0,male
doctor,Hungarian,hu_6,male,25-35,0,male
doctor,Hungarian,hu_7,female,35-45,-1,male
doctor,Hungarian,hu_8,female,45-55,-1,male
doctor,Hungarian,hu_9,male,25-35,-2,male
doctor,Hungarian,hu_11,female,45-55,0,male
doctor,Hungarian,hu_12,male,25-35,-1,male
doctor,Hungarian,hu_14,female,25-35,0,male
doctor,Hungarian,hu_15,female,35-45,-1,male
doctor,Hungarian,hu_16,female,25-35,-1,male
doctor,Hungarian,hu_17,female,45-55,0,male
doctor,Hungarian,hu_18,female,45-55,0,male
doctor,Hungarian,hu_19,female,25-35,0,male
doctor,Hungarian,hu_20,female,25-35,-1,male
doctor,Hungarian,hu_21,female,25-35,0,male
doctor,Hungarian,hu_22,male,25-35,-1,male
doctor,Hungarian,hu_23,male,25-35,-1,male
doctor,Hungarian,hu_24,male,25-35,0,male
farmer,Hungarian,hu_1,male,25-35,-1,male
farmer,Hungarian,hu_2,male,45-55,-2,male
farmer,Hungarian,hu_3,male,25-35,-2,male
farmer,Hungarian,hu_4,male,35-45,-1,male
farmer,Hungarian,hu_5,male,25-35,-1,male
farmer,Hungarian,hu_6,male,25-35,-1,male
farmer,Hungarian,hu_7,female,35-45,-2,male
farmer,Hungarian,hu_8,female,45-55,-2,male
farmer,Hungarian,hu_9,male,25-35,-2,male
farmer,Hungarian,hu_11,female,45-55,-1,male
farmer,Hungarian,hu_12,male,25-35,-2,male
farmer,Hungarian,hu_14,female,25-35,0,male
farmer,Hungarian,hu_15,female,35-45,-1,male
farmer,Hungarian,hu_16,female,25-35,-2,male
